genre,event_names,event_dates,event_prices,event_followers,day,month,year,formated_date,city
Latina,Puro Latino Festival | Puerto de Santa María,25 julio 2024,No se especifica,48,25,7,2024,2024-7-25,
Latina,Sentimiento Vallenato Fest,29 marzo 2025,No se especifica,0,29,3,2025,2025-3-29,
Latina,BigSound Festival 2025,27 junio 2025,"49,00 €",298,27,6,2025,2025-6-27,
Latina,Granada Latina Festival 2025,28 junio 2025,No se especifica,81,28,6,2025,2025-6-28,Granada
Latina,Granca Live Fest 2025,3 julio 2025,"149,00 €",66,3,7,2025,2025-7-3,
Latina,Puro Latino Festival 2025 | Puerto de Santa María,24 julio 2025,No se especifica,9,24,7,2025,2025-7-24,
Latina,Salinas Sound Festival 2025,1 agosto 2025,"39,00 €",9,1,8,2025,2025-8-1,
Reggae,Ghost Town Weekend 2025,28 febrero 2025,"15,00 €",25,28,2,2025,2025-2-28,
Reggae,Viña Rock 2025,1 mayo 2025,"39,99 €",371,1,5,2025,2025-5-1,
Reggae,Sensenom Festival 2025,7 junio 2025,"40,00 €",0,7,6,2025,2025-6-7,
Reggae,Rototom Sunsplash 2025,15 agosto 2025,No se especifica,45,15,8,2025,2025-8-15,
Rock,Candlelight Madrid 2024,1 enero 2024,"20,00 €",92,1,1,2024,2024-1-1,Madrid
Rock,Candlelight Barcelona 2024,1 enero 2024,"15,00 €",40,1,1,2024,2024-1-1,Barcelona
Rock,Festival Mil·lenni 2024,8 febrero 2024,"16,00 €",48,8,2,2024,2024-2-8,
Rock,Summum Concert Series,6 octubre 2024,"25,00 €",6,6,10,2024,2024-10-6,
Rock,Festival de Tributos AMERICAN ROCK PUNK (Lleida),13 diciembre 2024,"13,00 €",32,13,12,2024,2024-12-13,
Rock,"ROCK TRIO - Bon Jovi, Queen & Aerosmith (Granada)",20 diciembre 2024,"15,00 €",27,20,12,2024,2024-12-20,Granada
Rock,"ROCK TRIO - Bon Jovi, Queen & Aerosmith (Alicante)",21 diciembre 2024,"15,00 €",18,21,12,2024,2024-12-21,Alicante
Rock,Negufest,28 diciembre 2024,No se especifica,5,28,12,2024,2024-12-28,
Rock,Festival de Tributos AMERICAN ROCK STARS (El Escorial - Madrid),4 enero 2025,"13,00 €",5,4,1,2025,2025-1-4,Madrid
Rock,Festival de Tributos AMERICAN ROCK PUNK (Vigo),17 enero 2025,"14,00 €",29,17,1,2025,2025-1-17,
Rock,Festival de Tributos AMERICAN ROCK PUNK (Lugo),18 enero 2025,"14,00 €",3,18,1,2025,2025-1-18,
Rock,"METAL TRIO - Iron Maiden, Megadeth & Metallica (Zamora)",31 enero 2025,"14,00 €",6,31,1,2025,2025-1-31,
Rock,METAL DUO - Metallica Vs. Iron Maiden (Lugo),1 febrero 2025,"13,00 €",3,1,2,2025,2025-2-1,
Rock,METAL DUO - Metallica Vs. Iron Maiden (Badajoz),14 febrero 2025,"13,00 €",3,14,2,2025,2025-2-14,
Rock,Iboga Festival Madrid 2024,15 febrero 2025,"22,50 €",1,15,2,2025,2025-2-15,Madrid
Rock,Festival de Tributos AMERICAN ROCK PUNK (Badajoz),14 marzo 2025,"15,00 €",1,14,3,2025,2025-3-14,
Rock,REBEL FEST VIII edición,22 marzo 2025,"24,00 €",89,22,3,2025,2025-3-22,
Rock,SanSan Festival 2025,17 abril 2025,"66,00 €",561,17,4,2025,2025-4-17,
Rock,WARM UP Estrella de Levante 2025,2 mayo 2025,"64,99 €",52,2,5,2025,2025-5-2,
Rock,Solazo Fest 2025,9 mayo 2025,"50,00 €",19,9,5,2025,2025-5-9,
Rock,Interestelar Sevilla 2025,16 mayo 2025,"65,00 €",573,16,5,2025,2025-5-16,Sevilla
Rock,Festival de Tributos AMERICAN ROCK PUNK (Bilbao),17 mayo 2025,"15,00 €",17,17,5,2025,2025-5-17,Bilbao
Rock,Tomavistas 2025,29 mayo 2025,"100,00 €",276,29,5,2025,2025-5-29,
Rock,Iruña Rock 2025,30 mayo 2025,"37,00 €",6,30,5,2025,2025-5-30,
Urbano,Fiesta fin de año universitario. MAMONEOS-IMPALA,14 diciembre 2024,"5,00 €",652,14,12,2024,2024-12-14,
Urbano,Nochevieja Universitaria: Especial DADE,20 diciembre 2024,"5,50 €",0,20,12,2024,2024-12-20,
Urbano,Nochebuena: BAD SANTA,24 diciembre 2024,"6,00 €",2,24,12,2024,2024-12-24,
Urbano,Noche Buena Gahús,25 diciembre 2024,"10,00 €",1,25,12,2024,2024-12-25,
Urbano,Negufest,28 diciembre 2024,No se especifica,5,28,12,2024,2024-12-28,
Urbano,Nochevieja 2024 en GLAM,1 enero 2025,"40,00 €",26,1,1,2025,2025-1-1,
Urbano,EntreRíos Festival 2025,3 enero 2025,"19,95 €",270,3,1,2025,2025-1-3,
Urbano,SOUND VA FEST 2025,18 enero 2025,"8,00 €",198,18,1,2025,2025-1-18,
Urbano,Toledo Beat Festival 2025,9 mayo 2025,No se especifica,172,9,5,2025,2025-5-9,
Urbano,Sensenom Festival 2025,7 junio 2025,"40,00 €",0,7,6,2025,2025-6-7,
Urbano,BigSound Festival 2025,27 junio 2025,"49,00 €",298,27,6,2025,2025-6-27,
Urbano,Pirata Beach Festival 2025,9 julio 2025,"42,00 €",116,9,7,2025,2025-7-9,
Urbano,Salinas Sound Festival 2025,1 agosto 2025,"39,00 €",9,1,8,2025,2025-8-1,
Urbano,Sonorama Ribera 2025,6 agosto 2025,No se especifica,609,6,8,2025,2025-8-6,
Urbano,Dreambeach 2025,7 agosto 2025,No se especifica,84,7,8,2025,2025-8-7,
Urbano,Rabolagartija Festival 2025,15 agosto 2025,"59,00 €",39,15,8,2025,2025-8-15,
Urbano,En Vivo Festival,19 septiembre 2025,No se especifica,0,19,9,2025,2025-9-19,
Urbano,Madrid Salvaje 2025,26 septiembre 2025,No se especifica,220,26,9,2025,2025-9-26,Madrid
Hip-hop,Negufest,28 diciembre 2024,No se especifica,5,28,12,2024,2024-12-28,
Hip-hop,Iruña Rock 2025,30 mayo 2025,"37,00 €",6,30,5,2025,2025-5-30,
Hip-hop,Sensenom Festival 2025,7 junio 2025,"40,00 €",0,7,6,2025,2025-6-7,
Hip-hop,Conexión Valladolid Festival 7.0,27 junio 2025,"50,00 €",242,27,6,2025,2025-6-27,
Hip-hop,Weekend Beach Festival 2025,10 julio 2025,"70,00 €",92,10,7,2025,2025-7-10,
Hip-hop,Santander Music 2025,1 agosto 2025,"49,00 €",79,1,8,2025,2025-8-1,
Hip-hop,Dreambeach 2025,7 agosto 2025,No se especifica,84,7,8,2025,2025-8-7,
Hip-hop,En Vivo Festival,19 septiembre 2025,No se especifica,0,19,9,2025,2025-9-19,
