genre,event_names,event_dates,event_prices,event_followers
Rock,SanSan Festival 2025,17 abr. 2025,"66,00 €",561
Rock,WARM UP Estrella de Levante 2025,2 may. 2025,"64,99 €",52
Rock,Solazo Fest 2025,9 may. 2025,"50,00 €",19
Rock,Interestelar Sevilla 2025,16 may. 2025,"65,00 €",573
Rock,Festival de Tributos AMERICAN ROCK PUNK (Bilbao),17 may. 2025,"15,00 €",17
Rock,Tomavistas 2025,29 may. 2025,"100,00 €",276
Rock,Iruña Rock 2025,30 may. 2025,"37,00 €",6
Urbano,Fiesta fin de año universitario. MAMONEOS-IMPALA,14 dic. 2024,"5,00 €",652
Urbano,Nochevieja Universitaria: Especial DADE,20 dic. 2024,"5,50 €",0
Urbano,Nochebuena: BAD SANTA,24 dic. 2024,"6,00 €",2
Urbano,Noche Buena Gahús,25 dic. 2024,"10,00 €",1
Urbano,Negufest,28 dic. 2024,,5
Urbano,Nochevieja 2024 en GLAM,1 ene. 2025,"40,00 €",26
Urbano,EntreRíos Festival 2025,3 ene. 2025,"19,95 €",270
Urbano,SOUND VA FEST 2025,18 ene. 2025,"8,00 €",198
Urbano,Toledo Beat Festival 2025,9 may. 2025,,172
Urbano,Sensenom Festival 2025,7 jun. 2025,"40,00 €",0
Urbano,BigSound Festival 2025,27 jun. 2025,"49,00 €",298
Urbano,Pirata Beach Festival 2025,9 jul. 2025,"42,00 €",116
Urbano,Salinas Sound Festival 2025,1 ago. 2025,"39,00 €",9
Urbano,Sonorama Ribera 2025,6 ago. 2025,,609
Urbano,Dreambeach 2025,7 ago. 2025,,84
Urbano,Rabolagartija Festival 2025,15 ago. 2025,"59,00 €",39
Urbano,En Vivo Festival,19 sep. 2025,,0
Urbano,Madrid Salvaje 2025,26 sep. 2025,,220
Hip-hop,Negufest,28 dic. 2024,,5
Hip-hop,Iruña Rock 2025,30 may. 2025,"37,00 €",6
Hip-hop,Sensenom Festival 2025,7 jun. 2025,"40,00 €",0
Hip-hop,Conexión Valladolid Festival 7.0,27 jun. 2025,"50,00 €",242
Hip-hop,Weekend Beach Festival 2025,10 jul. 2025,"70,00 €",92
Hip-hop,Santander Music 2025,1 ago. 2025,"49,00 €",79
Hip-hop,Dreambeach 2025,7 ago. 2025,,84
Hip-hop,En Vivo Festival,19 sep. 2025,,0
